total_mentions;total_followers;total_medals;year;participant_id
16085;19424;0;2020;95
18814;19124;1;2016;96
29354;22389;0;2020;97
16520;17178;0;2016;98
19628;19572;0;2020;99
16252;28614;0;2012;100
29722;26047;0;2020;101
22732;18771;0;2012;103
29270;22343;0;2012;104
15776;23401;0;2012;105
29315;16054;0;2016;106
28679;25370;0;2016;107
23718;20059;0;2012;107
20998;28743;0;2012;108
25432;21135;0;2016;109
29099;20165;0;2020;110
16712;15512;1;2020;111
25902;23843;0;2020;112
26618;12501;0;2016;113
26799;23016;0;2016;114
28788;15308;0;2020;115
21499;25950;0;2016;116
19583;21847;0;2020;117
24436;19889;0;2012;118
26993;28269;0;2020;119
15523;23364;0;2016;120
20425;25509;0;2020;121
20977;14456;0;2016;122
22409;15352;0;2020;123
20066;23100;0;2020;124
17049;21759;0;2016;125
27203;19918;0;2012;125
20381;14063;1;2016;126
24974;22103;1;2016;127
27109;21605;0;2012;128
23007;23278;0;2016;129
24894;24171;0;2016;130
16786;14821;0;2012;130
16689;22729;0;2012;131
18903;21982;0;2012;132
20647;20402;0;2020;133
15049;19686;0;2016;134
15946;26903;0;2012;134
23532;29005;0;2020;135
15098;19606;0;2012;136
19609;28232;0;2016;137
24343;17445;0;2016;138
25521;26904;0;2020;139
22885;17270;0;2016;140
26058;26323;0;2012;142
20434;27202;0;2020;143
17753;23575;0;2016;145
24784;22791;0;2016;146
21896;25783;0;2020;148
22293;13521;1;2020;149
15350;15411;0;2020;150
28877;25004;0;2012;151
28011;18662;0;2016;152
24166;21073;0;2012;152
24624;30209;0;2020;153
17326;23685;0;2016;154
22409;17674;0;2016;155
28841;25046;0;2016;156
25954;24256;0;2020;157
22904;28568;0;2020;158
25682;17484;0;2020;159
26886;22830;0;2012;160
28165;24449;0;2012;161
28441;19488;0;2012;162
17071;29605;0;2020;163
15323;22975;0;2012;164
21721;27825;0;2020;165
15211;22568;0;2012;166
25621;15607;0;2016;167
23613;20963;0;2012;167
22703;19922;0;2020;168
17815;26270;1;2020;169
22072;27407;0;2020;170
26705;23234;0;2012;171
15078;13722;0;2020;172
15136;27650;0;2012;173
29491;17632;0;2016;174
16372;30091;0;2012;175
28779;19725;0;2016;176
18051;26192;1;2016;177
22215;16802;1;2012;177
27018;17619;0;2016;178
19910;19190;0;2016;179
19940;25259;0;2016;180
20163;19436;0;2016;181
15363;29916;0;2012;182
24380;18961;0;2016;183
27651;15989;0;2012;183
16613;28289;0;2020;184
19524;25423;0;2012;185
21997;17979;0;2012;186
23490;31178;0;2020;187
15584;20437;0;2012;188
17154;20531;0;2020;189
15142;16142;0;2020;190
27901;20658;0;2020;191
17387;20557;0;2012;192
26052;25566;0;2012;193
22957;27037;0;2016;194
17077;20826;0;2012;194
15022;30761;0;2016;196
27617;28544;0;2012;196
27213;14182;0;2020;197
17772;21974;0;2020;198
16105;18042;0;2020;199
27970;24281;0;2012;200
18651;21488;0;2016;201
21321;30623;0;2012;201
21893;26866;0;2012;203
24897;21172;0;2016;204
25032;24845;0;2012;205
25770;26046;0;2016;206
16606;20187;0;2012;206
20144;25139;0;2016;207
18326;17008;0;2020;208
17739;30433;0;2012;209
17389;26066;0;2016;210
23022;25354;0;2012;210
23402;28152;0;2016;211
24157;21665;1;2016;212
29769;21988;0;2016;213
23190;27256;0;2020;214
22232;22584;0;2020;215
23245;20546;1;2020;216
27727;21189;0;2016;217
21146;21983;0;2020;218
20493;20437;0;2016;219
29353;18844;0;2016;220
19456;23350;0;2016;221
20554;25032;0;2012;221
15940;22445;0;2012;222
24221;23458;0;2020;223
24002;22007;0;2020;225
16295;18791;0;2016;226
16945;25730;0;2020;227
28377;15395;0;2012;228
29354;23536;1;2020;230
29385;26623;0;2012;231
22413;25854;0;2016;232
19023;27229;0;2012;233
24073;21761;0;2012;234
17778;20610;0;2016;235
21244;19709;0;2016;236
22068;27000;0;2012;236
20754;18348;0;2012;237
23927;15898;0;2012;238
17130;24598;0;2016;239
24142;19275;0;2020;240
19254;25286;0;2016;241
16139;24532;0;2016;242
21327;24908;0;2016;243
22469;21228;0;2020;244
25019;21926;0;2016;245
25904;21144;0;2020;246
22458;27379;0;2012;247
24271;21448;0;2016;248
25720;17786;0;2020;249
15589;22399;0;2020;250
21652;19946;0;2020;251
18279;25124;0;2020;252
27043;20350;0;2016;253
23137;19516;0;2012;253
28563;23680;0;2016;254
16020;28718;0;2020;255
17318;29717;0;2012;256
29434;15852;0;2012;257
16245;16636;0;2012;258
19930;25646;0;2012;259
15476;19326;0;2020;260
17552;22460;0;2012;261
26759;24479;0;2012;262
15196;31779;0;2016;263
29315;22419;0;2016;264
20369;23292;2;2020;265
16332;29256;0;2020;266
19268;22155;0;2020;267
22335;19401;0;2012;268
24925;13185;0;2020;269
27423;27300;0;2020;270
21268;30691;0;2020;271
20962;22168;0;2020;272
20218;20599;0;2016;273
25606;30621;0;2012;275
23147;16516;0;2012;276
22080;24885;0;2020;277
20640;24283;0;2016;278
19999;25207;0;2020;279
25581;21378;0;2012;280
22177;29259;0;2020;281
28736;17967;0;2012;282
29532;19198;0;2016;283
15444;17364;0;2016;284
17559;20084;0;2020;285
28262;21420;0;2020;286
28629;24137;0;2012;287
16277;29586;0;2012;288
29136;23868;0;2020;289
27391;15019;0;2016;290
26989;25159;0;2012;290
24983;21329;0;2020;291
22325;19947;0;2016;292
16613;18231;0;2020;293
22401;15520;0;2012;294
18045;29576;0;2020;295
19201;18862;0;2012;296
24922;26719;0;2016;298
28116;29431;0;2012;299
22513;27266;0;2020;300
27041;22145;0;2020;301
16319;16340;0;2012;302
28438;19608;0;2020;303
28717;23513;0;2020;304
19042;30350;0;2016;305
27267;24571;0;2012;306
17383;21121;0;2016;307
22611;23599;0;2012;308
16485;22739;0;2016;309
22546;25152;0;2016;310
21542;28455;0;2016;311
28782;30217;0;2020;312
26348;29256;1;2020;313
19956;23138;0;2012;314
28135;29397;0;2020;315
16107;28210;0;2016;316
26877;24843;1;2016;317
23488;25081;0;2016;318
24259;18975;0;2020;319
21948;20697;0;2012;320
27384;31270;0;2012;321
16419;28256;0;2016;322
27615;24292;0;2012;322
18829;21488;0;2012;323
18406;17685;0;2012;324
29801;21021;0;2016;325
29315;19460;0;2012;325
26297;18771;0;2020;326
29043;22482;0;2020;327
21296;19103;0;2016;328
19375;15531;0;2012;328
23666;18973;0;2012;329
17240;27366;0;2016;330
15708;22891;0;2012;330
15337;22618;1;2016;331
16094;21225;0;2012;331
27230;21051;0;2020;332
21266;31715;0;2012;333
29883;13733;0;2016;334
17457;21327;0;2016;335
27782;20391;0;2016;336
17097;13956;0;2012;336
26265;16963;0;2012;337
21456;21738;0;2020;338
23431;16206;0;2016;340
22353;23530;0;2016;341
20933;24187;0;2020;342
28177;23870;0;2016;343
21741;24878;0;2012;343
23380;25564;0;2020;344
20266;26576;0;2020;345
18396;18646;0;2012;346
18490;21899;0;2016;347
24566;20106;0;2020;348
15022;30761;0;2016;349
27617;28544;0;2012;349
18391;22676;1;2016;350
29789;29544;0;2012;350
17246;30989;0;2016;351
17323;28004;0;2012;351
29097;19755;0;2020;352
28667;24061;0;2016;353
24401;29638;0;2012;354
25861;23023;0;2016;355
15620;24164;0;2020;356
22678;19590;0;2020;357
20006;18671;0;2012;358
15969;17447;3;2020;359
16474;28591;0;2020;360
25988;19116;0;2020;361
27435;26870;1;2016;362
27846;20189;0;2012;363
23723;24477;0;2016;364
23547;25146;0;2020;365
29825;22495;0;2016;366
19908;29569;0;2012;367
21558;27749;0;2016;368
15013;29490;0;2012;368
15843;20935;0;2016;369
24792;21423;0;2012;370
27542;16977;0;2012;371
19007;26197;0;2020;372
29765;16101;0;2020;373
24018;16933;0;2016;374
24197;19184;0;2012;374
15348;30822;0;2020;375
20959;18911;0;2016;376
16032;31838;0;2020;377
26821;24707;0;2012;378
16935;24696;0;2016;379
24820;26123;0;2012;379
20633;25010;0;2016;380
26030;21187;0;2012;380
15935;25589;0;2016;381
16441;22229;0;2012;382
20218;13287;1;2016;383
27725;21402;0;2012;383
16972;18175;0;2012;384
19326;24090;0;2012;385
22453;19274;0;2012;386
17253;21248;0;2016;387
25148;26570;0;2012;387
21868;15370;0;2016;388
17028;29072;0;2020;389
20448;27487;0;2020;390
18108;21348;0;2012;391
20543;24842;0;2020;392
21076;21257;0;2020;393
26678;24382;0;2016;394
23472;25304;0;2016;395
28704;25879;0;2012;395
23015;27160;0;2016;396
21847;24001;0;2020;397
15696;27713;1;2016;398
21989;17312;0;2016;399
24594;17920;0;2020;400
18772;26782;0;2020;401
23476;29603;0;2012;402
16628;22363;0;2016;403
17764;23971;0;2016;404
23758;30553;0;2016;405
19413;23022;0;2020;406
22932;23746;0;2012;406
22710;26308;0;2020;407
22494;25961;0;2020;408
19602;26238;0;2020;409
15438;28582;0;2012;410
19326;20630;0;2016;411
16649;25725;0;2012;411
23804;24733;0;2016;412
22158;26235;0;2012;412
26704;13191;0;2020;413
28016;20647;0;2016;414
29526;23054;0;2016;415
29015;18510;0;2012;415
16251;23096;0;2016;416
20487;24934;0;2016;417
22287;22705;0;2012;417
19819;17102;1;2016;419
20449;20733;0;2012;419
22303;28115;0;2020;420
29836;24675;0;2020;421
23405;18398;0;2016;422
18415;16708;0;2020;423
23902;31443;0;2020;424
21158;25303;0;2020;425
22669;25904;0;2020;426
20067;18432;3;2012;427
21806;16481;0;2020;428
20340;20124;0;2012;429
20087;25277;0;2020;430
20552;28270;0;2016;431
17894;24665;0;2020;432
27021;26140;0;2020;433
20789;23725;0;2012;434
20770;21933;0;2016;435
26787;14345;0;2020;436
28839;28418;0;2020;437
18466;15673;0;2012;438
29569;20517;0;2016;439
17819;15616;0;2012;439
15002;23489;1;2016;440
22651;27130;0;2020;441
20218;22317;1;2020;442
25211;22455;1;2016;443
29186;17096;0;2020;444
24696;27076;0;2016;445
18424;18748;0;2016;446
22756;22303;0;2012;446
21695;21310;0;2020;447
29954;15475;0;2012;448
25630;23859;0;2020;449
20424;19085;0;2012;450
24651;17352;0;2020;451
28137;20210;0;2020;453
28511;17291;0;2012;454
28991;23384;0;2012;456
24635;26169;1;2016;457
21616;27222;0;2012;457
23030;23152;0;2012;458
27389;25955;0;2012;459
21906;29701;0;2020;460
23054;31369;0;2016;461
24081;26900;0;2016;462
19121;18857;0;2012;463
18270;21420;0;2016;464
17574;27890;0;2012;464
16407;17676;0;2020;465
21400;31333;0;2012;466
20132;25289;0;2020;467
24481;25506;0;2012;468
21089;16971;0;2016;469
26997;26613;0;2012;470
25610;17052;0;2016;472
29393;22052;0;2020;473
20688;27550;0;2020;474
16726;27081;0;2020;475
18990;25872;0;2016;476
22963;24781;0;2020;477
16858;22292;0;2012;478
26713;24499;0;2016;479
29685;25027;0;2012;479
23066;21792;0;2016;480
20518;27641;0;2016;481
15703;14199;0;2012;481
28475;30143;0;2020;482
27640;26247;0;2012;483
18560;23223;0;2020;484
21547;25757;0;2020;485
29690;19065;1;2012;486
28648;20820;0;2016;487
17709;14964;0;2012;487
17878;26162;0;2020;488
16163;16019;0;2020;489
17548;17494;0;2016;490
23179;16907;0;2012;490
21813;27819;2;2016;491
22742;20345;1;2020;492
18893;18482;0;2012;493
28095;19153;0;2012;494
28482;23693;1;2016;495
27785;25867;0;2020;496
19044;25557;0;2020;497
21327;19372;0;2016;498
15177;24208;0;2020;499
29363;18185;0;2020;500
19839;19850;0;2012;501
27847;20633;0;2020;502
26117;28558;0;2012;503
18117;13174;0;2012;504
21120;23643;0;2016;505
17784;22018;0;2020;506
22295;18538;0;2016;507
23765;29419;0;2016;508
24111;22565;0;2020;509
18491;20230;0;2016;510
18238;21655;0;2012;510
16339;23759;0;2020;511
16742;23443;0;2016;512
22268;32515;0;2016;513
28386;19986;0;2012;514
27682;29079;0;2016;515
19600;21817;0;2020;517
26892;22645;0;2016;518
26502;28031;0;2012;518
28122;22185;0;2020;519
15127;17118;1;2016;521
28920;30044;1;2012;521
19546;21269;0;2016;522
26776;19834;0;2016;523
27621;28925;0;2012;523
24943;23792;0;2016;524
15658;22723;0;2020;525
20074;22173;0;2016;526
20183;27245;0;2012;526
26839;19842;0;2012;527
20269;32393;0;2020;528
19221;19369;0;2016;529
24467;22495;1;2016;530
25992;16235;0;2020;531
29579;31803;0;2020;532
28111;19768;0;2016;533
18786;24941;0;2016;534
18065;30756;0;2020;535
22934;27290;0;2012;536
17011;23149;0;2012;537
29119;21230;0;2016;538
28644;21782;0;2020;539
28523;28877;0;2016;540
26699;27217;0;2020;541
29094;17649;0;2016;542
18848;18192;0;2016;543
27935;24588;0;2016;544
26723;20070;0;2020;545
18154;24583;0;2020;546
26827;21783;0;2016;547
25017;31175;0;2012;547
15764;21876;1;2020;548
24650;24147;0;2012;549
27819;15695;1;2020;550
25153;27768;0;2016;551
21352;20877;0;2012;551
29841;16072;0;2012;552
15520;25218;0;2016;553
23437;27049;0;2020;554
29993;29096;0;2016;555
25600;18313;1;2016;556
22189;19434;0;2016;557
29114;23572;0;2012;557
17699;19939;0;2012;558
18361;26577;0;2012;559
27683;26357;0;2020;560
20212;30349;0;2020;561
15297;22180;0;2020;562
21662;17687;0;2016;564
24434;27910;1;2012;564
18069;20024;0;2012;565
18139;28716;1;2016;566
15638;23562;0;2012;566
28715;18230;0;2012;567
24597;28667;0;2016;568
22026;29881;0;2012;569
25548;24427;0;2012;570
25654;18227;0;2020;571
25173;22880;0;2016;572
22432;28652;0;2012;572
21639;24593;0;2016;573
21485;29964;0;2012;573
16843;14518;0;2020;574
25322;26190;0;2012;575
20094;28357;0;2016;576
22374;29393;0;2012;576
29457;24945;0;2020;577
28431;27460;0;2016;578
15877;27830;0;2012;579
26983;19378;0;2016;580
19696;27312;1;2016;581
16842;27043;0;2012;582
29867;18140;0;2012;583
21769;28859;0;2016;584
29247;25640;0;2012;585
22702;20524;0;2016;586
28338;12917;0;2016;587
27272;24057;1;2016;588
15099;22133;0;2020;589
23169;31210;0;2016;590
25842;23355;0;2016;591
15186;25782;0;2012;591
27932;24726;0;2016;592
16402;29389;0;2016;593
17759;19849;0;2020;594
18950;21136;0;2012;595
15549;23287;0;2020;596
17734;22480;1;2020;597
20319;21100;0;2016;598
27532;27158;0;2020;599
24984;15416;0;2020;600
16915;29531;0;2020;601
21628;24271;1;2016;602
16497;18407;0;2012;603
19788;18612;0;2020;604
27775;22214;0;2012;605
20615;18581;0;2020;606
15244;22961;0;2020;607
24337;28302;0;2012;608
26486;18565;0;2012;609
17502;26769;0;2016;610
16818;18058;1;2016;611
18180;21943;0;2012;611
19254;21440;0;2016;612
19219;27662;0;2016;613
29324;19367;0;2012;614
22526;23903;0;2016;615
19926;19492;0;2012;616
27058;21336;0;2012;617
26481;19499;0;2020;618
18071;29813;0;2020;619
26909;23737;0;2012;620
26766;23590;0;2012;621
24180;15943;0;2012;622
28661;16615;0;2012;623
20030;21378;0;2016;624
25854;25464;0;2020;625
19576;22308;0;2020;626
18104;21148;0;2016;627
17230;33000;0;2020;628
17159;27663;0;2016;629
15682;31054;0;2020;631
29356;25121;0;2016;632
28409;22721;0;2016;633
17546;22117;0;2016;634
18605;21067;0;2016;635
19637;23498;0;2012;635
17563;25870;0;2012;636
25368;32732;0;2020;637
21777;16334;0;2016;638
23776;31189;0;2012;639
21622;24758;0;2020;640
18157;16407;0;2012;641
20741;17373;0;2012;642
17358;18968;1;2020;643
22615;28369;0;2016;644
21680;19285;0;2012;645
18151;30470;0;2016;646
17717;25608;0;2012;646
16311;18802;0;2016;647
18311;21348;0;2016;648
16960;18958;0;2012;649
17320;28022;0;2016;650
15605;19807;0;2020;651
23078;23822;0;2020;652
18999;20236;0;2020;653
26475;15165;0;2016;654
21877;23760;0;2016;655
21432;17321;0;2016;656
27493;25437;0;2012;657
27528;14378;0;2012;658
25665;20400;0;2016;659
22075;27157;0;2016;660
21942;19320;0;2012;661
25864;25358;0;2016;662
16404;20643;0;2016;663
18400;12780;0;2012;663
19892;22171;0;2020;664
27931;18386;0;2020;665
27724;22200;0;2012;666
15793;25130;0;2020;667
17416;21498;0;2016;668
25561;30412;0;2012;668
18579;27398;0;2012;669
15943;16766;1;2020;670
16364;24476;1;2016;671
16813;18689;0;2012;671
28023;26857;0;2016;672
15882;20028;0;2016;673
24262;20143;0;2012;673
28959;24023;0;2020;674
19465;27874;0;2012;675
21323;19695;0;2012;676
17417;20335;0;2020;677
23068;21493;0;2020;678
26289;24266;0;2012;679
19700;25136;0;2020;680
15040;23194;0;2016;681
26780;26906;0;2012;681
27552;22550;1;2020;682
15996;19710;0;2016;683
23105;18695;1;2016;684
23522;29656;0;2012;684
26742;19519;0;2020;685
17863;15309;0;2020;686
16486;21751;0;2012;687
19803;28603;0;2012;688
17489;19449;0;2012;689
17963;22972;1;2020;690
19990;19312;0;2012;691
15182;24960;0;2020;692
25940;26569;0;2012;693
24315;26767;0;2016;694
21059;24398;0;2012;694
25182;24609;0;2012;695
18259;21947;0;2020;696
27475;16923;0;2020;697
18388;18130;0;2016;698
19210;14176;0;2020;699
15529;22519;0;2020;700
23105;25264;0;2016;701
22055;22755;0;2020;702
22711;25103;0;2016;703
21574;17022;0;2012;703
25472;32030;0;2016;704
15666;19788;0;2012;704
20848;27557;0;2020;705
26765;28738;0;2016;706
24423;19217;0;2012;706
24730;22969;0;2020;707
15019;17876;0;2012;708
27968;23323;0;2016;709
17510;29462;0;2012;709
28735;30045;0;2020;710
18291;19417;0;2016;711
19665;24006;0;2012;711
22076;23060;1;2016;713
27703;22466;0;2012;713
20105;24064;0;2012;714
19449;19923;0;2020;715
19903;13476;0;2020;716
24898;22099;0;2020;717
29024;24982;0;2012;718
27090;30570;0;2016;719
25121;14238;0;2012;719
24574;23205;1;2020;720
23491;16679;0;2012;721
18807;20293;0;2016;722
23047;25916;0;2016;723
18628;19929;0;2012;723
15465;19664;0;2012;724
29299;27489;0;2012;725
23596;25235;0;2020;726
21460;22454;0;2016;727
16440;24506;0;2012;727
22385;24157;0;2012;728
20414;23704;0;2012;729
26964;22484;0;2020;731
18345;19672;0;2012;732
19786;24389;0;2020;733
18058;24451;0;2020;734
28826;24052;0;2020;735
29362;20260;0;2012;736
15719;17417;0;2020;737
20526;22828;0;2016;738
28720;14187;0;2012;739
20737;16861;0;2016;740
18949;19103;0;2012;740
26737;17278;0;2016;741
15244;17340;0;2020;742
28362;22867;0;2020;743
21416;19700;0;2020;744
20415;17847;0;2020;745
20741;13553;0;2020;746
28344;21092;0;2012;747
29067;25550;0;2020;748
27869;21777;0;2012;749
20395;17564;0;2016;750
21829;17583;0;2016;751
22370;29204;0;2012;753
22659;26168;0;2012;754
25388;24405;0;2016;755
15580;25713;1;2016;756
25817;14589;0;2012;756
22249;27502;1;2016;757
22798;30204;0;2012;757
17042;18209;0;2020;758
24456;23864;1;2016;759
16457;18901;0;2012;760
28934;18664;0;2012;761
19909;28328;1;2016;762
21086;18553;0;2012;762
28358;18929;0;2020;763
19604;24107;0;2016;764
29742;24852;0;2016;766
18991;29451;0;2012;767
15984;17680;0;2016;768
25794;15349;0;2020;770
23118;21404;1;2016;771
19856;17019;0;2020;772
23721;21098;0;2012;773
16324;25767;0;2012;774
28702;19516;0;2012;775
26589;23256;0;2012;776
22287;27582;1;2020;777
28647;25197;0;2012;778
29925;19123;0;2016;779
26123;21944;0;2012;779
24282;17754;0;2016;780
29558;22336;0;2016;781
15152;18643;0;2020;782
15171;14514;0;2016;783
25965;17862;0;2016;784
16903;23803;0;2020;785
26158;22472;0;2016;786
16110;23860;0;2012;786
15236;23497;0;2016;787
18038;23266;0;2016;788
20902;19991;0;2020;789
17897;19107;1;2020;790
27858;22826;0;2020;791
20911;24988;0;2016;792
23220;21166;0;2020;793
19893;12766;0;2016;794
15731;15764;0;2012;794
21321;20704;0;2020;795
24207;27034;0;2016;796
26691;28789;0;2020;797
22288;17637;0;2016;798
22320;20316;0;2012;798
29895;22467;0;2020;799
16078;15174;0;2020;800
25846;22864;0;2020;801
26608;24166;0;2020;802
23452;18993;0;2020;803
17295;26411;0;2020;804
28213;31165;1;2020;805
18955;20448;0;2020;806
15418;22349;0;2016;807
29811;25744;0;2020;808
26634;23212;0;2020;809
16598;21844;0;2012;810
26806;17270;0;2020;811
27310;19998;0;2020;812
19530;32331;0;2020;813
17788;24214;0;2016;814
26197;23438;0;2020;815
21092;27557;0;2016;816
28799;16621;0;2020;817
27206;20491;0;2020;818
20852;21366;1;2016;819
15209;13162;1;2012;819
15226;24718;0;2016;820
20798;20713;1;2012;820
16348;21647;0;2016;821
17473;18476;0;2016;822
23248;19911;0;2012;822
20719;22960;0;2016;823
26551;23379;0;2012;823
26170;25299;0;2020;824
26604;24222;0;2016;825
28036;22131;0;2012;826
28467;23462;0;2012;827
18350;28314;0;2016;828
17928;21991;1;2016;829
15377;16876;0;2016;830
20984;23887;0;2012;830
17242;31050;0;2020;831
26056;26605;0;2020;832
28388;21059;1;2016;833
16579;21145;0;2012;833
19538;23138;0;2020;834
24923;15981;0;2020;835
16371;28024;0;2020;836
15560;23620;0;2016;837
19617;16860;0;2016;838
16697;19919;0;2012;839
29067;15632;0;2016;840
16779;12320;0;2012;840
24496;26698;0;2012;841
20302;24882;0;2020;842
15145;17892;0;2012;843
26291;21019;1;2020;844
28456;25334;0;2012;845
24174;18114;1;2016;846
23104;16655;0;2012;847
15787;16972;0;2012;848
28882;21538;0;2012;849
17374;27795;0;2016;850
22076;24296;0;2012;850
23695;22699;0;2016;851
20608;26191;0;2012;851
15622;19522;0;2012;852
25631;21640;0;2016;853
27986;20218;0;2012;853
20646;20212;0;2016;854
24745;13538;0;2020;855
25521;21691;0;2016;857
17497;20664;0;2012;857
16700;25365;0;2020;858
15791;26347;0;2016;859
26701;22332;0;2020;860
18130;27538;0;2020;861
22569;21213;0;2016;862
15867;25474;0;2012;863
27280;21021;0;2012;864
22517;18483;0;2012;865
27303;18654;0;2020;866
17951;24373;0;2012;867
16664;24663;0;2016;868
24004;19166;1;2020;869
22307;19877;0;2012;870
29520;28661;0;2020;871
15599;22585;1;2016;872
26453;22644;0;2016;873
17439;28675;0;2016;874
20579;30124;0;2016;875
29153;23367;0;2012;875
16473;19270;0;2020;876
19888;29341;0;2020;877
15134;19703;0;2020;879
19991;25430;0;2016;880
25718;22672;0;2012;882
27686;20869;0;2016;883
19114;20669;0;2012;884
28008;21744;0;2012;885
23131;25054;0;2012;886
15017;18039;0;2016;887
21735;24788;0;2016;888
27429;17334;0;2020;889
25071;24892;0;2012;890
26446;22456;0;2016;891
21137;27118;0;2016;892
25920;26108;0;2020;893
23641;21994;0;2020;894
25615;24353;0;2016;895
23106;23328;0;2012;895
18465;19416;0;2012;896
20604;17616;0;2012;897
18406;26652;0;2016;898
26614;18345;0;2016;899
17727;17271;0;2012;900
28994;22205;0;2020;901
16237;21648;0;2020;902
21710;25237;0;2020;903
24839;14502;0;2016;904
27741;13666;1;2020;906
28643;21071;0;2012;907
25084;21896;0;2020;908
20066;28143;0;2016;909
23030;20288;0;2012;910
23494;28309;0;2020;911
29285;27819;0;2012;912
23259;28565;0;2016;913
29869;18799;0;2012;913
20767;27967;0;2020;914
24062;24801;0;2020;915
29224;22394;0;2012;916
20725;22998;0;2020;917
28598;26961;0;2016;918
24239;23918;1;2020;919
26530;21000;0;2012;920
29167;21169;0;2016;921
25650;12810;0;2016;922
28060;29134;0;2012;923
28722;20990;0;2016;924
16307;26527;0;2012;924
16727;26823;0;2020;925
25611;22839;0;2020;926
15778;19133;0;2012;927
25164;20411;0;2020;928
23745;23056;0;2012;929
19266;16714;0;2012;930
19815;26127;0;2020;931
24093;23463;0;2020;932
25867;23289;1;2020;933
23909;14546;0;2012;934
28148;20776;0;2016;935
17026;21189;0;2016;936
21280;28134;0;2016;937
17485;20439;0;2020;938
26888;19641;0;2012;939
20585;25022;0;2012;940
20197;17169;0;2012;941
16014;29018;0;2016;942
23013;29583;0;2020;943
21323;21893;0;2020;944
26620;21994;0;2020;945
29985;20432;0;2012;946
15035;25632;0;2012;947
16750;18390;0;2020;948
17479;14529;0;2016;949
28977;15100;0;2012;950
25402;17825;0;2020;951
24832;22524;0;2016;952
15598;13136;0;2016;953
17300;20346;1;2012;953
23071;23087;0;2012;954
17649;22548;0;2012;955
21869;20224;0;2012;956
19474;32702;0;2020;957
27999;20363;0;2016;958
25630;22198;1;2016;959
23763;26416;0;2012;959
27297;26733;1;2016;960
27315;22373;0;2012;960
17322;25664;0;2012;961
16466;16275;0;2016;962
22369;23913;1;2020;963
15022;25394;0;2020;964
20462;19624;0;2016;965
19625;15976;0;2012;965
25153;27768;0;2016;966
21352;20877;0;2012;966
20601;23334;0;2020;967
24699;24503;0;2020;968
28289;21704;0;2012;969
28751;17036;0;2020;970
25652;17705;0;2016;971
22597;20269;0;2020;972
21215;25625;0;2020;973
15868;19262;0;2020;974
22972;17907;0;2020;975
25219;23384;1;2012;976
24160;25089;0;2016;977
21744;24843;0;2012;977
22552;22741;0;2020;978
29764;26906;0;2016;979
23381;28913;0;2012;980
15497;22625;0;2016;981
18760;21830;0;2016;982
20461;26120;0;2016;983
20776;16848;0;2012;983
28369;28466;0;2012;984
25023;19804;1;2016;985
22032;16883;0;2012;985
20082;22453;0;2020;986
